tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58547140,2911,58547.207658700,-0.10807414,-0.14312103,0.00441525,-0.98377687
58547343,2923,58547.374327400,-0.10809420,-0.14316592,0.00439134,-0.98376828
58547546,2936,58547.603637000,-0.10810758,-0.14321747,0.00442715,-0.98375911
58547750,2950,58547.817383000,-0.10819121,-0.14325210,0.00440451,-0.98374498
58547968,2964,58548.010915263,-0.10813125,-0.14320761,0.00435118,-0.98375827
58548171,2978,58548.222605563,-0.10814741,-0.14319161,0.00436914,-0.98375875
58548375,2993,58548.430940763,-0.10816053,-0.14317457,0.00442626,-0.98375952
58548578,3007,58548.639276463,-0.10809187,-0.14320834,0.00439675,-0.98376232
58548781,3022,58548.847612063,-0.10816837,-0.14322013,0.00439611,-0.98375219
58548984,3036,58549.042187256,-0.10810985,-0.14318162,0.00438683,-0.98376423
58549187,3051,58549.250523256,-0.10810651,-0.14321059,0.00443937,-0.98376012
58549390,3066,58549.458859756,-0.10813097,-0.14318290,0.00441492,-0.98376161
58549609,3081,58549.667195856,-0.10812586,-0.14315607,0.00441709,-0.98376602
58549812,3095,58549.861642356,-0.10818458,-0.14318655,0.00442576,-0.98375517
58550015,3109,58550.070533384,-0.10817246,-0.14320672,0.00435829,-0.98375386
58550218,3124,58550.278869484,-0.10821331,-0.14319900,0.00431393,-0.98375064
58550421,3139,58550.487205484,-0.10812684,-0.14315178,0.00438621,-0.98376673
58550625,3153,58550.681651884,-0.10815850,-0.14323048,0.00434564,-0.98375195
58550828,3168,58550.890192297,-0.10810967,-0.14320536,0.00438868,-0.98376083
58551031,3183,58551.098527997,-0.10816664,-0.14319818,0.00430982,-0.98375595
58551234,3198,58551.306863797,-0.10817834,-0.14324066,0.00432867,-0.98374838
58551453,3212,58551.501310597,-0.10815582,-0.14321515,0.00439162,-0.98375428
58551656,3226,58551.703538797,-0.10814019,-0.14317611,0.00436838,-0.98376179
58551859,3241,58551.912209785,-0.10811953,-0.14319597,0.00433552,-0.98376137
58552062,3253,58552.118280785,-0.10811718,-0.14316940,0.00432663,-0.98376554
58552265,3264,58552.325334785,-0.10811241,-0.14318252,0.00434180,-0.98376399
58552468,3275,58552.532468385,-0.10810544,-0.14319482,0.00427177,-0.98376334
58552671,3289,58552.732265485,-0.10811206,-0.14320320,0.00440080,-0.98376083
