tickMs,frameSerial,sensorSampleTime,qx,qy,qz,qw
58840093,19763,58840.162938139,-0.10806701,-0.14288178,0.00429889,-0.98381293
58840109,19764,58840.176827339,-0.10809676,-0.14292818,0.00422795,-0.98380327
58840125,19765,58840.190716339,-0.10814267,-0.14290619,0.00422549,-0.98380142
58840140,19766,58840.204605539,-0.10811596,-0.14286588,0.00426722,-0.98380995
58840156,19767,58840.218494639,-0.10811329,-0.14294617,0.00426077,-0.98379868
58840171,19768,58840.232383839,-0.10806157,-0.14286993,0.00426856,-0.98381537
58840187,19769,58840.246272939,-0.10806077,-0.14290319,0.00421800,-0.98381090
58840203,19770,58840.260161839,-0.10807946,-0.14287195,0.00422065,-0.98381335
58840203,19771,58840.274050739,-0.10804665,-0.14285444,0.00426523,-0.98381931
58840218,19772,58840.287939639,-0.10809094,-0.14285193,0.00429532,-0.98381466
58840234,19773,58840.301828539,-0.10808094,-0.14287506,0.00421750,-0.98381281
58840250,19774,58840.315717539,-0.10808092,-0.14290144,0.00422455,-0.98380893
58840265,19775,58840.329606539,-0.10805622,-0.14289604,0.00423944,-0.98381239
58840281,19776,58840.343495639,-0.10804950,-0.14291507,0.00427333,-0.98381019
58840296,19777,58840.357384539,-0.10807209,-0.14288735,0.00427146,-0.98381168
58840312,19778,58840.371273739,-0.10812374,-0.14288126,0.00430914,-0.98380679
58840328,19779,58840.385162739,-0.10805343,-0.14291346,0.00426190,-0.98381001
58840328,19780,58840.399051739,-0.10808510,-0.14291909,0.00424353,-0.98380578
58840343,19781,58840.412940739,-0.10807947,-0.14288306,0.00425740,-0.98381156
58840359,19782,58840.426829739,-0.10811042,-0.14291300,0.00426918,-0.98380375
58840375,19783,58840.440718939,-0.10805283,-0.14287789,0.00430738,-0.98381501
58840390,19784,58840.454608139,-0.10808468,-0.14286731,0.00425317,-0.98381329
58840406,19785,58840.468497139,-0.10810295,-0.14289683,0.00428509,-0.98380685
58840421,19786,58840.482386039,-0.10804223,-0.14291546,0.00428807,-0.98381078
58840437,19787,58840.496275039,-0.10804512,-0.14285772,0.00430126,-0.98381883
58840453,19788,58840.510163939,-0.10804877,-0.14293209,0.00423776,-0.98380786
58840453,19789,58840.524053039,-0.10804734,-0.14288571,0.00430479,-0.98381454
58840468,19790,58840.537942239,-0.10807477,-0.14285785,0.00430318,-0.98381549
58840484,19791,58840.551831239,-0.10805121,-0.14294866,0.00426741,-0.98380506
58840500,19792,58840.565720139,-0.10812761,-0.14288047,0.00431653,-0.98380637
58840515,19793,58840.579609239,-0.10805436,-0.14288950,0.00425071,-0.98381346
58840531,19794,58840.593498239,-0.10807873,-0.14292213,0.00425572,-0.98380595
58840546,19795,58840.607387239,-0.10807575,-0.14291880,0.00427689,-0.98380667
58840562,19796,58840.621276339,-0.10808481,-0.14286652,0.00423840,-0.98381352
58840578,19797,58840.635165439,-0.10806105,-0.14294335,0.00425338,-0.98380482
58840578,19798,58840.649054339,-0.10806168,-0.14288174,0.00426889,-0.98381364
58840593,19799,58840.662943239,-0.10806087,-0.14287516,0.00426792,-0.98381478
58840609,19800,58840.676832339,-0.10808963,-0.14288151,0.00423962,-0.98381072
58840625,19801,58840.690721539,-0.10808802,-0.14285018,0.00425668,-0.98381537
58840640,19802,58840.704610739,-0.10808673,-0.14289556,0.00427212,-0.98380888
58840656,19803,58840.718499839,-0.10809006,-0.14290245,0.00425483,-0.98380756
58840671,19804,58840.732388839,-0.10808524,-0.14282608,0.00433174,-0.98381883
58840687,19805,58840.746278039,-0.10805962,-0.14283054,0.00430985,-0.98382109
58840687,19806,58840.760167039,-0.10808872,-0.14286058,0.00429393,-0.98381358
58840703,19807,58840.774056039,-0.10806042,-0.14286877,0.00427032,-0.98381567
58840718,19808,58840.787945039,-0.10805438,-0.14289705,0.00427081,-0.98381221
58840734,19809,58840.801834039,-0.10804587,-0.14291906,0.00430119,-0.98380983
58840750,19810,58840.815723139,-0.10807373,-0.14286947,0.00428431,-0.98381406
58840765,19811,58840.829612039,-0.10810748,-0.14287557,0.00426863,-0.98380959
